Mean,Name,std dev
-46.054567382614096,174,0.8114068463500219
-46.69386703294282,777,0.5598819882116999
-45.99746416572686,forge3,0.7629742510941607
-47.45475861114117,652,0.5347467254595321
-46.983971934806,422,0.5199598513458853
-47.971054638445985,1272,0.6527738876389754
-47.782623546094726,1988,0.8334941884797147
-46.353523543560286,1462,0.7830272788524758
-47.723382145656096,1673,0.4354076423712048
-45.702077417589855,1919,0.6874073781651017
-66.89729759045636,leooz,0.9176894155788972
14.431725297783053,leo,48.027104400086365
