,Threshold
SPEAKER1,0.0
SPEAKER10(SHORT),-1.1985226655158268
SPEAKER1_44kHz,-4.98518677613624
SPEAKER2,0.0
SPEAKER2_44kHz,-3.910638433911055
SPEAKER3,0.0
SPEAKER3_44kHz,0.0
SPEAKER4,0.0
SPEAKER4_44kHz,0.0
SPEAKER5,0.0
SPEAKER5_44kHz,-3.06707534050748
SPEAKER6,-3.8810698265277477
SPEAKER7,-2.3800388452851604
SPEAKER8(SHORT),-4.5204173112414345
SPEAKER9,-9.095924633528309
